date,Ex_rate
1/1/1990 0:00,0.7855
2/1/1990 0:00,0.7818
3/1/1990 0:00,0.7867
4/1/1990 0:00,0.786
5/1/1990 0:00,0.7849
6/1/1990 0:00,0.7866
7/1/1990 0:00,0.7886
8/1/1990 0:00,0.791
9/1/1990 0:00,0.7939
10/1/1990 0:00,0.7894
11/1/1990 0:00,0.7917
12/1/1990 0:00,0.7941
13-01-1990 00:00,0.7935
14-01-1990 00:00,0.7954
15-01-1990 00:00,0.7751
16-01-1990 00:00,0.7622
17-01-1990 00:00,0.7583
18-01-1990 00:00,0.7605
19-01-1990 00:00,0.7635
20-01-1990 00:00,0.766
21-01-1990 00:00,0.7685
22-01-1990 00:00,0.7702
23-01-1990 00:00,0.7735
24-01-1990 00:00,0.7655
25-01-1990 00:00,0.7665
26-01-1990 00:00,0.7575
27-01-1990 00:00,0.7545
28-01-1990 00:00,0.7493
29-01-1990 00:00,0.7521
30-01-1990 00:00,0.7521
31-01-1990 00:00,0.7457
1/2/1990 0:00,0.75
2/2/1990 0:00,0.7567
3/2/1990 0:00,0.7595
4/2/1990 0:00,0.7586
5/2/1990 0:00,0.7646
6/2/1990 0:00,0.7652
7/2/1990 0:00,0.765
8/2/1990 0:00,0.7605
9/2/1990 0:00,0.7601
10/2/1990 0:00,0.7635
11/2/1990 0:00,0.7596
12/2/1990 0:00,0.7585
13-02-1990 00:00,0.7611
14-02-1990 00:00,0.7596
15-02-1990 00:00,0.7607
16-02-1990 00:00,0.7607
17-02-1990 00:00,0.758
18-02-1990 00:00,0.761
19-02-1990 00:00,0.7635
20-02-1990 00:00,0.7563
21-02-1990 00:00,0.7536
22-02-1990 00:00,0.7549
23-02-1990 00:00,0.7565
24-02-1990 00:00,0.752
25-02-1990 00:00,0.7504
26-02-1990 00:00,0.7474
27-02-1990 00:00,0.7469
28-02-1990 00:00,0.7452
1/3/1990 0:00,0.7471
2/3/1990 0:00,0.7523
3/3/1990 0:00,0.7548
4/3/1990 0:00,0.7561
5/3/1990 0:00,0.7605
6/3/1990 0:00,0.7669
7/3/1990 0:00,0.765
8/3/1990 0:00,0.765
9/3/1990 0:00,0.763
10/3/1990 0:00,0.7643
11/3/1990 0:00,0.7663
12/3/1990 0:00,0.7663
13-03-1990 00:00,0.765
14-03-1990 00:00,0.7654
15-03-1990 00:00,0.7653
16-03-1990 00:00,0.77
17-03-1990 00:00,0.7732
18-03-1990 00:00,0.7705
19-03-1990 00:00,0.7655
20-03-1990 00:00,0.7663
21-03-1990 00:00,0.766
22-03-1990 00:00,0.756
23-03-1990 00:00,0.7503
24-03-1990 00:00,0.75
25-03-1990 00:00,0.7457
26-03-1990 00:00,0.752
27-03-1990 00:00,0.7552
28-03-1990 00:00,0.7546
29-03-1990 00:00,0.7565
30-03-1990 00:00,0.7577
31-03-1990 00:00,0.7585
1/4/1990 0:00,0.7587
2/4/1990 0:00,0.76
3/4/1990 0:00,0.7669
4/4/1990 0:00,0.7645
5/4/1990 0:00,0.7625
6/4/1990 0:00,0.7617
7/4/1990 0:00,0.7605
8/4/1990 0:00,0.764
9/4/1990 0:00,0.764
10/4/1990 0:00,0.7653
11/4/1990 0:00,0.7623
12/4/1990 0:00,0.7668
13-04-1990 00:00,0.766
14-04-1990 00:00,0.772
