Unnamed: 0,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,class,stalk_height,cap_diameter
1167,sunken,scaly,white,no,anise,descending,distant,broad,pink,tapering,cup,smooth,silky,gray,yellow,partial,brown,two,sheathing,chocolate,clustered,waste,poisonous,14.27617297122402,5.0549829233453965
1037,sunken,fibrous,red,no,anise,notched,crowded,narrow,chocolate,enlarging,rooted,silky,silky,cinnamon,brown,universal,brown,two,sheathing,brown,numerous,waste,edible,3.952714639141048,19.068319102548266
309,flat,grooves,purple,yes,foul,descending,crowded,broad,purple,tapering,cup,scaly,silky,yellow,gray,universal,yellow,two,sheathing,purple,abundant,waste,poisonous,9.054265313176776,7.205883714391126
282,bell,scaly,pink,yes,fishy,notched,close,broad,orange,enlarging,club,smooth,scaly,yellow,pink,partial,yellow,two,cobwebby,green,clustered,grasses,poisonous,5.226498695230033,20.932691755267506
820,flat,smooth,yellow,yes,musty,free,crowded,narrow,orange,enlarging,missing,fibrous,scaly,gray,white,universal,white,none,none,yellow,clustered,urban,poisonous,14.037531821116223,12.545245017628186
389,convex,grooves,pink,no,spicy,attached,crowded,broad,orange,enlarging,club,smooth,smooth,white,yellow,universal,white,one,sheathing,white,scattered,woods,poisonous,4.337043485680991,16.18933788284154
330,bell,smooth,brown,no,anise,free,distant,broad,buff,tapering,missing,scaly,smooth,red,red,partial,white,two,flaring,green,scattered,leaves,poisonous,12.702358950228756,24.662015288153
98,conical,fibrous,white,yes,none,notched,close,narrow,black,tapering,equal,scaly,fibrous,yellow,brown,partial,brown,one,large,orange,several,woods,poisonous,11.963690396955393,19.408506249892078
597,conical,grooves,green,yes,pungent,attached,crowded,narrow,buff,tapering,club,silky,smooth,buff,pink,universal,yellow,two,evanescent,chocolate,solitary,woods,edible,14.272489935113551,13.260536629429106
16,convex,scaly,brown,yes,almond,attached,crowded,broad,red,tapering,bulbous,silky,scaly,buff,red,partial,white,none,zone,green,clustered,leaves,poisonous,11.842597490252702,4.216489289086263
243,convex,scaly,buff,yes,fishy,attached,close,broad,purple,enlarging,equal,fibrous,fibrous,red,orange,partial,yellow,none,flaring,green,abundant,urban,edible,3.762968599343637,2.710012088602793
621,bell,smooth,brown,yes,none,notched,distant,broad,black,tapering,cup,silky,fibrous,orange,orange,universal,brown,none,zone,purple,clustered,paths,poisonous,13.750327380921002,19.78480396032442
875,sunken,grooves,gray,yes,creosote,notched,crowded,narrow,green,enlarging,equal,fibrous,fibrous,brown,buff,partial,brown,none,zone,orange,solitary,leaves,poisonous,9.251979097436314,8.780475430403271
221,flat,smooth,buff,no,pungent,descending,distant,broad,brown,tapering,bulbous,fibrous,fibrous,brown,yellow,universal,brown,none,large,green,several,meadows,edible,2.961996712174636,4.027114690922197
1178,sunken,scaly,gray,yes,pungent,free,crowded,narrow,purple,enlarging,club,fibrous,fibrous,white,yellow,universal,white,none,large,black,abundant,grasses,edible,8.250044578074343,5.527331578677696
236,conical,grooves,white,yes,none,free,crowded,broad,yellow,enlarging,cup,smooth,silky,yellow,buff,partial,yellow,none,none,yellow,scattered,meadows,edible,3.6863973300202826,14.023279141282172
1279,bell,smooth,pink,no,foul,notched,distant,broad,pink,enlarging,rooted,smooth,fibrous,brown,pink,universal,brown,one,zone,black,scattered,leaves,poisonous,5.2910089106810005,5.43630415205709
539,convex,scaly,green,yes,musty,attached,distant,broad,red,tapering,bulbous,scaly,silky,red,gray,universal,brown,two,large,black,several,woods,edible,11.9518630727761,9.709388584580992
1117,conical,grooves,yellow,yes,anise,attached,crowded,narrow,brown,tapering,missing,fibrous,silky,cinnamon,orange,universal,white,one,pendant,purple,scattered,urban,poisonous,8.791043750247061,2.9593559212555114
857,sunken,smooth,gray,yes,anise,free,distant,broad,yellow,tapering,cup,silky,silky,yellow,pink,universal,brown,two,pendant,orange,solitary,leaves,poisonous,13.596098352439896,6.417736867660793
707,sunken,grooves,white,yes,musty,notched,crowded,broad,white,enlarging,cup,silky,fibrous,white,white,partial,brown,one,pendant,orange,numerous,meadows,poisonous,13.572091312119753,9.94905094711006
781,sunken,smooth,yellow,yes,almond,attached,distant,narrow,gray,tapering,equal,silky,fibrous,orange,buff,partial,brown,two,evanescent,black,several,paths,poisonous,8.688007539850146,12.125694353429711
140,convex,scaly,green,no,musty,attached,distant,broad,green,enlarging,missing,silky,silky,pink,cinnamon,universal,orange,one,zone,yellow,numerous,meadows,poisonous,8.091160820990053,9.777055304265511
910,sunken,fibrous,brown,yes,none,notched,crowded,broad,black,tapering,bulbous,smooth,fibrous,pink,gray,universal,orange,none,flaring,yellow,scattered,waste,poisonous,8.436651180027846,15.228180017711232
34,bell,fibrous,pink,yes,pungent,descending,crowded,narrow,yellow,enlarging,cup,silky,smooth,gray,yellow,universal,orange,one,cobwebby,buff,solitary,meadows,poisonous,5.796084319833303,23.853087815307195
1083,conical,grooves,red,yes,pungent,descending,close,narrow,brown,tapering,rhizomorphs,silky,scaly,orange,cinnamon,partial,orange,two,cobwebby,black,clustered,leaves,edible,11.56649675466117,1.155584227015405
50,bell,fibrous,brown,no,pungent,free,crowded,narrow,black,enlarging,bulbous,scaly,smooth,brown,orange,partial,yellow,one,evanescent,buff,clustered,paths,poisonous,6.200762712480712,8.899706657765291
552,convex,smooth,green,no,musty,descending,close,narrow,black,tapering,bulbous,smooth,smooth,brown,pink,partial,white,two,zone,green,several,meadows,poisonous,14.791487587645967,12.32759410303894
1154,bell,grooves,gray,yes,musty,notched,crowded,broad,chocolate,tapering,bulbous,fibrous,scaly,white,white,universal,brown,two,sheathing,buff,clustered,leaves,poisonous,3.846000184724192,22.78812615856609
1198,sunken,smooth,white,no,anise,attached,crowded,broad,black,tapering,bulbous,scaly,scaly,orange,red,partial,brown,two,sheathing,black,solitary,woods,edible,13.214006547563969,14.54917131375692
537,flat,smooth,red,no,musty,free,distant,narrow,chocolate,tapering,missing,smooth,smooth,brown,orange,universal,white,two,pendant,yellow,solitary,grasses,poisonous,3.1890817065597643,8.00677817988766
277,convex,fibrous,red,yes,pungent,descending,close,broad,green,tapering,rhizomorphs,fibrous,silky,red,white,partial,white,two,zone,brown,several,urban,poisonous,7.865522128706674,17.766535357639732
109,convex,scaly,gray,no,foul,descending,distant,broad,pink,tapering,club,fibrous,fibrous,orange,cinnamon,universal,white,one,pendant,brown,solitary,meadows,edible,6.947248030983806,11.187905865274343
699,conical,fibrous,pink,no,creosote,attached,close,broad,orange,tapering,bulbous,scaly,smooth,orange,gray,partial,white,one,cobwebby,orange,several,urban,poisonous,10.42501670180663,5.365537597913312
1279,bell,smooth,pink,no,foul,notched,distant,broad,pink,enlarging,rooted,smooth,fibrous,brown,pink,universal,brown,one,zone,black,scattered,leaves,poisonous,5.2910089106810005,5.43630415205709
796,convex,smooth,buff,yes,anise,descending,crowded,broad,green,enlarging,cup,fibrous,silky,yellow,orange,partial,brown,none,cobwebby,buff,numerous,meadows,edible,10.573542820060554,10.353062704401363
737,conical,smooth,green,no,almond,free,distant,broad,purple,tapering,club,scaly,silky,red,gray,partial,yellow,two,evanescent,yellow,several,meadows,poisonous,4.594319886511222,10.146163953793756
20,bell,grooves,yellow,no,foul,notched,distant,broad,buff,tapering,bulbous,smooth,fibrous,brown,red,partial,white,two,zone,orange,abundant,waste,poisonous,4.850906970214863,19.44905946533238
497,sunken,fibrous,brown,yes,fishy,descending,distant,narrow,chocolate,enlarging,rhizomorphs,silky,scaly,cinnamon,pink,partial,white,two,none,black,abundant,grasses,poisonous,10.90581873718648,10.141366806647646
223,convex,smooth,purple,yes,creosote,notched,close,narrow,yellow,enlarging,club,fibrous,silky,pink,buff,partial,orange,two,sheathing,buff,numerous,urban,edible,8.173811210133916,4.988929860059482
810,bell,smooth,red,no,pungent,notched,close,narrow,chocolate,tapering,cup,smooth,scaly,orange,pink,partial,orange,one,sheathing,green,abundant,urban,edible,6.88529013637936,2.665529994274352
1043,convex,smooth,purple,yes,none,notched,distant,broad,orange,tapering,equal,smooth,smooth,orange,yellow,universal,brown,none,evanescent,black,solitary,urban,poisonous,5.96008946460803,16.621883755996564
94,conical,smooth,purple,yes,spicy,notched,close,narrow,green,enlarging,missing,silky,silky,gray,cinnamon,universal,white,two,flaring,black,clustered,woods,edible,12.493684659648595,14.556152123357403
782,bell,scaly,red,no,pungent,free,crowded,broad,chocolate,enlarging,bulbous,scaly,silky,white,yellow,universal,brown,one,evanescent,white,clustered,urban,edible,5.14424112891578,23.52151012639572
771,flat,fibrous,white,yes,spicy,free,crowded,broad,purple,tapering,missing,scaly,silky,white,yellow,partial,brown,one,sheathing,green,solitary,waste,poisonous,12.559680491640636,17.67990092813784
1275,sunken,scaly,yellow,no,pungent,descending,distant,narrow,orange,enlarging,rooted,fibrous,fibrous,red,red,partial,white,none,zone,white,numerous,leaves,poisonous,4.74645300816836,10.76993475823144
764,bell,grooves,pink,no,anise,notched,crowded,broad,green,enlarging,club,scaly,smooth,yellow,brown,partial,yellow,two,flaring,buff,several,leaves,edible,13.955470162700466,1.8254338792638392
1089,flat,scaly,purple,yes,almond,notched,crowded,narrow,chocolate,enlarging,rooted,fibrous,fibrous,brown,buff,universal,yellow,one,cobwebby,brown,several,woods,poisonous,4.114954907491653,10.597474848247382
453,sunken,smooth,pink,yes,anise,attached,distant,narrow,gray,tapering,equal,silky,scaly,white,orange,universal,yellow,one,pendant,green,scattered,waste,edible,12.328214625952532,23.039726945832072
965,conical,scaly,red,yes,pungent,free,distant,broad,purple,enlarging,cup,scaly,fibrous,pink,pink,partial,orange,one,large,white,numerous,woods,poisonous,10.94337594296261,12.676809219319903
549,conical,grooves,brown,no,foul,free,distant,broad,white,tapering,rooted,smooth,fibrous,buff,gray,partial,yellow,two,large,chocolate,solitary,woods,poisonous,12.206952075949223,5.061714789779822
408,bell,scaly,red,yes,creosote,attached,close,broad,gray,tapering,rooted,smooth,scaly,pink,orange,partial,white,two,pendant,green,solitary,meadows,edible,8.338754514084156,18.57706863347414
88,conical,grooves,brown,yes,almond,free,crowded,broad,buff,enlarging,bulbous,scaly,scaly,red,cinnamon,universal,orange,two,none,chocolate,several,meadows,poisonous,10.475718666938592,3.032814986310309
1195,flat,grooves,brown,no,none,free,close,narrow,chocolate,enlarging,rhizomorphs,silky,fibrous,cinnamon,gray,universal,white,none,sheathing,purple,clustered,woods,edible,9.266367368244184,22.69864377466764
884,conical,smooth,gray,no,fishy,notched,close,narrow,pink,enlarging,bulbous,silky,smooth,yellow,red,universal,yellow,one,flaring,chocolate,clustered,leaves,poisonous,13.0882601612374,2.217697033418701
