Date,Day,SKU,City,Volume,BU,Brand,Model,Avg Price,Total Sales Value,Discount Rate (%),Discount Amount,Net Sales Value
01-04-2021,Thursday,M01,C,15,Mobiles,RealU,RU-10,12100,181500,11.654820286277227,21153.49881959317,160346.50118040683
01-04-2021,Thursday,M02,C,10,Mobiles,RealU,RU-9 Plus,10100,101000,11.560497981172011,11676.102960983731,89323.89703901627
01-04-2021,Thursday,M03,C,7,Mobiles,YouM,YM-99,16100,112700,9.456885675868353,10657.910156703634,102042.08984329636
01-04-2021,Thursday,M04,C,6,Mobiles,YouM,YM-99 Plus,20100,120600,6.935385325,8364.074702073072,112235.92529792692
01-04-2021,Thursday,M05,C,3,Mobiles,YouM,YM-98 ,8100,24300,17.995663499847538,4372.946230462952,19927.053769537048
01-04-2021,Thursday,M06,C,3,Mobiles,RealU,RU-9,8100,24300,16.996488910376506,4130.1468052214905,20169.85319477851
01-04-2021,Thursday,M07,C,3,Mobiles,Sumsang,S-20,49100,147300,9.228811758,13594.039718999667,133705.96028100033
01-04-2021,Thursday,M08,C,2,Mobiles,Sumsang,S-21,54100,108200,5.553719335858815,6009.124321399238,102190.87567860076
01-04-2021,Thursday,M09,C,2,Mobiles,Orange,O-10,55100,110200,7.410104486,8165.935143619563,102034.06485638044
01-04-2021,Thursday,M10,C,3,Mobiles,Orange,O-11,60100,180300,9.928443556922565,17900.983733131387,162399.01626686862
01-04-2021,Thursday,F01,C,13,FMCG,Babaji,Babaji Oil ,400,5200,18.869241650349192,981.2005658181579,4218.799434181842
01-04-2021,Thursday,F02,C,4,FMCG,Vedic,Vedic Cream,300,1200,16.578315839170525,198.93979007004629,1001.0602099299538
01-04-2021,Thursday,F03,C,4,FMCG,Vedic,Vedic Shampoo,390,1560,18.15940810281622,283.2867664,1276.713233596067
01-04-2021,Thursday,F04,C,9,FMCG,Babaji,Babaji Shampoo,465,4185,18.509507661487792,774.6228956332641,3410.3771043667357
01-04-2021,Thursday,F05,C,5,FMCG,Babaji,Babaji Cream,290,1450,15.516590589482743,224.99056354749976,1225.0094364525003
01-04-2021,Thursday,F06,C,5,FMCG,Vedic,Vedic Oil,450,2250,18.120928359044605,407.7208880785036,1842.2791119214965
01-04-2021,Thursday,F07,C,3,FMCG,Gear,Gear Oil,500,1500,18.11487059931267,271.72305898969006,1228.2769410103099
01-04-2021,Thursday,F08,C,3,FMCG,Gear,Gear Cream,400,1200,17.506967212926114,210.08360655511336,989.9163934448866
01-04-2021,Thursday,F09,C,1,FMCG,Gear,Gear Shampoo,560,560,16.723064529319696,93.64916136419029,466.35083863580974
01-04-2021,Thursday,F10,C,4,FMCG,Gear,Gear BB Cream,1099,4396,16.735953685973765,735.7125240354067,3660.2874759645933
01-04-2021,Thursday,L01,C,10,Lifestyle,Jeera,M- T Shirts,450,4500,19.527482792870615,878.7367256791777,3621.2632743208223
01-04-2021,Thursday,L02,C,8,Lifestyle,Jeera,M- Inners,500,4000,19.19432326805784,767.7729307223136,3232.2270692776865
01-04-2021,Thursday,L03,C,7,Lifestyle,Viva,W-Casuals,900,6300,18.06086733176471,1137.8346419011768,5162.165358098823
01-04-2021,Thursday,L04,C,5,Lifestyle,Viva,W-Inners,1300,6500,18.70696234082248,1215.952552153461,5284.0474478465385
01-04-2021,Thursday,L05,C,5,Lifestyle,Jeera,M-Jeans,2099,10495,19.938599568896862,2092.556024755726,8402.443975244274
01-04-2021,Thursday,L06,C,4,Lifestyle,Jeera,M-Casuals,1300,5200,18.84207796300867,979.7880540764507,4220.211945923549
01-04-2021,Thursday,L07,C,5,Lifestyle,Viva,W-Western,2600,13000,15.22271398029837,1978.9528174387879,11021.047182561211
01-04-2021,Thursday,L08,C,3,Lifestyle,Viva,W-Lounge,1600,4800,19.60701230337276,941.1365905618924,3858.8634094381077
01-04-2021,Thursday,L09,C,1,Lifestyle,Jeera,M-Formals,1900,1900,16.668537503167975,316.7022125601915,1583.2977874398084
01-04-2021,Thursday,L10,C,3,Lifestyle,Jeera,M-Shoes,3100,9300,16.577215459421417,1541.6810377261918,7758.318962273808
02-04-2021,Friday,M01,C,11,Mobiles,RealU,RU-10,12100,133100,13.10714037,17445.603828100593,115654.39617189941
02-04-2021,Friday,M02,C,8,Mobiles,RealU,RU-9 Plus,10100,80800,11.463709496680202,9262.677273317604,71537.32273
02-04-2021,Friday,M03,C,7,Mobiles,YouM,YM-99,16100,112700,9.816115051228891,11062.761662734962,101637.23833726504
02-04-2021,Friday,M04,C,6,Mobiles,YouM,YM-99 Plus,20100,120600,6.214888201701022,7495.155171251433,113104.84482874857
02-04-2021,Friday,M05,C,2,Mobiles,YouM,YM-98 ,8100,16200,18.735169283110185,3035.097424,13164.90257613615
02-04-2021,Friday,M06,C,3,Mobiles,RealU,RU-9,8100,24300,17.988541652817347,4371.215621634616,19928.784378365384
02-04-2021,Friday,M07,C,3,Mobiles,Sumsang,S-20,49100,147300,5.252112549273296,7736.3617850795645,139563.63821492044
02-04-2021,Friday,M08,C,1,Mobiles,Sumsang,S-21,54100,54100,9.238957338523049,4998.27592,49101.72407985903
02-04-2021,Friday,M09,C,3,Mobiles,Orange,O-10,55100,165300,8.440205804268277,13951.660194455462,151348.33980554453
02-04-2021,Friday,M10,C,3,Mobiles,Orange,O-11,60100,180300,9.087093183,16384.029009441005,163915.971
02-04-2021,Friday,F01,C,29,FMCG,Babaji,Babaji Oil ,400,11600,19.68807392701107,2283.8165755332843,9316.183424466715
